slug,name,side,effect_raw
eye-of-argus,Eye of Argus,front,Banish Eye of Argus: Target ally you control gains true sight until end of turn. Draw a card. (Units with true sight can attack units with stealth.)
sentinel-fabricator,Sentinel Fabricator,front,"(3), REST: Summon an Automaton Drone token with a buff counter on it."
sorrowcaller,Sorrowcaller,front,[Class Bonus] On Champion Hit: Reveal the hit opponent’s memory. Deal an amount of unpreventable damage to the hit champion equal to the amount of cards with reserve cost 3 or greater revealed this way.
radiant-vega,Radiant Vega,front,"[Diana Bonus] (2), REST, Remove two durability counters from Radiant Vega: Negate target card activation unless its controller pays (X), where X is the amount of Aethercharge cards loaded into Radiant Vega. Activate this ability only if your champion is distant."
imperious-highlander,Imperious Highlander,front,On Enter: Imperious Highlander gets +X POWER until end of turn where X is the amount of allies target opponent controls more than you control.
caretaker-horse,Caretaker Horse,front,[Class Bonus] On Enter: Another target ally you control becomes fostered. (Apply this effect only if your champion's class matches this card's class.)
fire-resonance-bauble,Fire Resonance Bauble,front,Banish Fire Resonance Bauble: Draw a card. Activate this ability only if an opponent controls a fire element champion.
ranger-strides,Ranger Strides,front,"On Enter: Draw a card.

Banish Ranger Strides: Target Ranger unit gains ranged 4 until end of turn. (As long as that unit is distant, its attacks get +4POWER.)"
combat-training,Combat Training,front,"Target Warrior ally's next attack this turn gets +2 POWER. If that ally is unique, their next attack this turn gets +3 POWER instead.

[Class Bonus] Floating Memory (While paying for a memory cost, you may banish this card from your graveyard to pay for 1 of that cost.)"
shadows-twin,Shadow's Twin,front,"Whenever Shadow's Twin becomes loaded, it gets +2 POWER until end of turn.

[Class Bonus] Whenever an attack using this weapon triggers an On Hit ability, that ability is triggered an additional time."
atmos-armor-type-hermes,Atmos Armor Type-Hermes,front,"As an additional cost to activate this card, sacrifice a Powercell.

Spellshroud (Units with spellshroud can’t be targeted by Spells.)

[Level 1+] Other Automaton allies you control get +1 POWER."
magebane-lash,Magebane Lash,front,"[Class Bonus] On Enter: Put a lash counter on your champion.

Magebane Lash gets +1 POWER for each lash counter on your champion.

[Nico Bonus] Whenever your champion is dealt non-combat damage, recover 2."
vigil-rempart,Vigil Rempart,front,[Class Bonus] Vigil Rempart gets +2POWER. (Apply this effect only if your champion's class matches this card's class.)
sword-of-shadows,Sword of Shadows,front,"[Class Bonus] Sword of Shadows gets +1POWER.

As long as an opponent controls an ally with stealth, Sword of Shadows gets -1POWER. (Apply this effect only if your champion's class matches this card's class.)"
automaton-beastkeeper,Automaton Beastkeeper,front,[Class Bonus] On Enter: You may return a Beast ally card from your graveyard to your memory.
changban-heroic-impasse,"Changban, Heroic Impasse",front,"On Enter: Put a buff counter on a unique ally you control.

Allies you control with one or more buff counters on them have ambush.

Upkeep — At the beginning of your recollection phase, if you don't control a unique ally, sacrifice Changban."
cure-the-flesh,Cure the Flesh,front,Remove all temporary damage from target ally. Draw a card into your memory.
brewing-kit,Brewing Kit,front,"REST, Sacrifice three Herbs: Look at the top six cards of your deck. You may reveal a Potion item card from among them and put it into your hand. Put the rest on the bottom of your deck in any order."
galatine-sword-of-sunlight,"Galatine, Sword of Sunlight",front,"Whenever you activate a Sword attack card, put a durability counter on Galatine.

[Class Bonus] Galatine gets +1 POWER for every three durability counters on it."
lancelot-goliath-of-aesa,"Lancelot, Goliath of Aesa",front,"Hindered (This ally enters the field rested.) 

[Class Bonus] [Level 2+] Lancelot gets +2 LIFE.

On Attack: You may pay (3). If you do, Lancelot gets +3 POWER until end of turn."
whimsys-warden,Whimsy's Warden,front,"Intercept (Whenever your champion is attacked while this ally is awake, you may redirect that attack to this ally.) 

As long as you have two or more omens, Whimsy's Warden gets +2POWER."
lurking-assailant,Lurking Assailant,front,"Lurking Assailant has stealth as long as it's awake.

[Level 1+] Lurking Assailant may retaliate against attackers while not defending."
determined-spearman,Determined Spearman,front,"Equestrian — As long as you control a Horse ally, this card costs 1 less to activate.

[Level 1+] Determined Spearman gets +1 LIFE. (Apply this effect only if your champion is level 1 or higher.)"
chibi-battle-of-red-cliffs,"Chibi, Battle of Red Cliffs",front,Players can't declare attacks with allies unless they pay (1) for each attack declaration.
turbulent-bullet,Turbulent Bullet,front,"Renewable

REST: Load Turbulent Bullet into target unloaded Gun weapon you control.

[Class Bonus] On Hit: Up to two target allies you control get +1 POWER until end of turn."
ripples-of-atrophy,Ripples of Atrophy,front,"[Class Bonus] Efficiency (This card costs LV less to activate. LV refers to your champion's level.)

Choose any amount of non-champion objects and put two wither counters on each of them."
votive-runeblade,Votive Runeblade,front,"[Class Bonus] On Attack: You may sacrifice another Sword regalia. If you do, wake up the attacker."
grand-crusaders-ring,Grand Crusader's Ring,front,"Divine Relic (You can only have one card with this keyword in your material deck.)

Banish Grand Crusader's Ring: Draw a card."
backstep,Backstep,front,"Target unit becomes distant. (Units stay distant until the end of their controller's turn.)

Draw a card."
conflagrant-sentinel,Conflagrant Sentinel,front,"On Enter: You may discard a card. If you do, put a buff counter on Conflagrant Sentinel. (Allies get +1POWER and +1LIFE for each buff counter on them.)"
bandage-wound,Bandage Wound,front,"Recover 4. (To recover, remove that many damage counters from your champion.)"
jewel-of-enlightenment,Jewel of Enlightenment,front,Banish Jewel of Enlightenment: Put an enlighten counter on your champion. (You may remove three enlighten counters from your champion to draw a card.)
bauble-of-scarcity,Bauble of Scarcity,front,Banish Bauble of Scarcity: Each player discards a card.
coriolis-ward,Coriolis Ward,front,"Prevent the next 1+LV damage that would be dealt to target unit this turn. (LV refers to your champion's level.)

If your Shifting Currents face West, draw a card into your memory."
clash-of-fates,Clash of Fates,front,"[Guo Jia Bonus] You may remove a quest counter from your champion rather than pay this card's reserve cost.

Put a buff counter on target Fatestone or Fatebound object. If that object is a Shenju ally, it gains vigor until end of turn."
morgan-soul-guide,"Morgan, Soul Guide",front,"[Level 1+] Prevent all non-combat damage that would be dealt to Morgan.

[Level 2+] Your opponents can't  recover.

[Class Bonus] At the beginning of your recollection phase, you may glimpse 1. If you don't, recover 1."
the-elysian-astrolabe,The Elysian Astrolabe,front,"Hindered (This object enters the field rested.) 

Materialize this card only if it's the last card in your material deck, and only if your starting material deck size was twelve.

REST: Until end of turn, you may pay (0) rather than pay a card's starcalling costs. When you do, glimpse 5."
seasons-end,Season's End,front,"[Diao Chan Bonus] This card costs 1 less to activate for each wither counter on objects on the field.

Destroy each object with a wither counter on it."
clear-pastures,Clear Pastures,front,"Equestrian — If you control a Horse ally, glimpse 3. (To glimpse, look at that many cards from the top of your deck. Put those cards back on the top or on the bottom of your deck in any order.)

Draw a card into your memory."
life-essence-amulet,Life Essence Amulet,front,"Whenever an ally you control dies while it's not your turn, you may banish Life Essence Amulet. If you do, draw a card."
ordinary-bear,Ordinary Bear,front,"Pride 2 (This ally won't obey you unless your champion is level 2 or higher.)

[Class Bonus] Floating Memory (While paying for a memory cost, you may banish this card from your graveyard to pay for 1 of that cost.)"
beastbond-claws,Beastbond Claws,front,Banish Beastbond Claws: Target Animal or Beast ally you control gets +2LIFE and gains stealth until end of turn. (Units with stealth can't be targeted by attacks unless permitted by true sight.)
flamme-sorcel,Flamme Sorcel,front,"Draw a card, then discard a card. If the reserve cost of the discarded card is equal to the reserve cost of one of your omens, draw another card."
extraction-incision,Extraction Incision,front,"True Sight (This attack can target units with stealth.)

[Class Bonus] On Kill: Put a preparation counter on your champion. (Apply this effect only if your champion’s class matches this card’s class.)"
bertha-spry-howitzer,"Bertha, Spry Howitzer",front,"Fast Activation, Ranged 2

[Class Bonus] [Level 2+] On Enter: Look at the top five cards of your deck. You may activate a Ranger action card with reserve cost 2 or less from among them without paying its costs. Put the rest on the bottom of your deck in any order."
shriveling-vines,Shriveling Vines,front,"[Class Bonus] This card costs 2 less to activate.

At the beginning of your end phase, put two wither counters on target non-champion non-token object you don't control."
gloamspire-lance,Gloamspire Lance,front,"[Class Bonus] On Hit: Deal X unpreventable damage to the hit object, then recover X, where X is the amount of Curse cards in the attacker's lineage plus 1."
academy-attendant,Academy Attendant,front,[Class Bonus] [Memory 4+] Academy Attendant gets +1 POWER. (Apply this effect only if your champion's class matches this card's class and only if there are four or more cards in your memory.)
peaceful-reunion,Peaceful Reunion,front,"Activate this card only if you have not declared an attack this turn.
Until the beginning of your next turn, you and target player can't declare attacks. Banish Peaceful Reunion."
coronation-ceremony,Coronation Ceremony,front,"This card costs 2 less to activate if it targets a unique ally.

Target unit gains spellshroud until end of turn. (Objects with spellshroud can’t be targeted by Spells.)"
mana-limiter,Mana Limiter,front,"You can't remove enlighten counters from your champion to pay for costs. 

Banish Mana Limiter: Draw a card. Activate this ability only if your champion has six or more enlighten counters on them."
death-essence-amulet,Death Essence Amulet,front,"Whenever an ally you control dies while it's not your turn, you may banish Death Essence Amulet. When you do, look at target opponent's hand or memory and discard a card from it."
feed-nourishment,Feed Nourishment,front,"Put a buff counter on target Animal or Beast ally.

Floating Memory (While paying for a memory cost, you may banish this card from your graveyard to pay for 1 of that cost.)"
torch-marshal,Torch Marshal,front,"[Class Bonus] Torch Marshal gets +1POWER. (Apply this effect only if your champion's class matches this card's class.)

As an additional cost to declare an attack with this ally, pay (2)."
buried-grief,Buried Grief,front,"Draw two cards, then put a card from your hand on top of your deck."
taiji-of-crystal-strategems,Taiji of Crystal Strategems,front,"Whenever your Shifting Currents change from facing South to East while Taiji of Crystal Strategems is awake, you may rest it. When you do, as a Spell, deal 3 damage to target champion you don't control.

Reservable (While paying for a reserve cost, you may rest this object to pay for 1 of that cost.)"
crystallized-destiny,Crystallized Destiny,front,"As long as you control two or more Fatestone and/or Fatebound objects, this card costs 2 less to activate.

The next time damage would be dealt to your champion this turn, prevent that damage. When 7 or more damage is prevented this way, cards your opponents activate this turn cost (2) more to activate."
academy-guide,Academy Guide,front,Champion cards you materialize cost 1 less to materialize.
map-of-hidden-passage,Map of Hidden Passage,front,"Map of Hidden Passage enters the field rested.

REST, Banish Map of Hidden Passage: Until end of turn, units with stealth can't be intercepted."
prismatic-sanctuary,Prismatic Sanctuary,front,"Upkeep — At the beginning of your recollection phase, reveal a card at random from your memory. If that card is not fire, water, nor wind element, sacrifice Prismatic Sanctuary.

Fire, water, and wind elements are enabled for you."
devouring-malice,Devouring Malice,front,"Devouring Malice enters the field with X gem counters on it.

REST, Remove a gem counter from Devouring Malice: As a Spell, choose one that hasn't been chosen—
• Put three debuff counters on target ally.
• Deal 3 damage to target champion and recover 3.
• Deal 8 unpreventable damage to your champion and draw two cards."
disenchant,Disenchant,front,Destroy target phantasia.
evasive-maneuvers,Evasive Maneuvers,front,"Prevent the next 2 damage that would be dealt to target unit this turn. If that unit is a Ranger, it becomes distant. (Units stay distant until the end of their controller's turn.)"
corsair-captain,Corsair Captain,front,"Ranged 2 (As long as this unit is distant, its attacks get +2POWER.)

[Class Bonus] Floating Memory (While paying for a memory cost, you may banish this card from your graveyard to pay for 1 of that cost.)"
cell-assembler,Cell Assembler,front,"On Enter: You may pay (2). If you do, summon a Powercell token rested."
allied-warpriestess,Allied Warpriestess,front,"[Class Bonus] Allied Warpriestess gets +1 POWER.

[Memory 4+] On Attack: Recover 2. (To recover, remove that many damage counters from your champion. Apply this effect only if there are four or more cards in your memory.)"
melodious-flute,Melodious Flute,front,"Your champion gets +1 level as long as you control an Animal or Beast ally.

[Class Bonus] Banish Melodious Flute: The next Harmony action card you activate this turn is a Melody in addition to its other types."
tome-of-ignorance,Tome of Ignorance,front,"[Class Bonus] Champions you don't control get -1 level. (Apply this effect only if your champion's class matches this card's class.)

Banish Tome of Ignorance: Draw a card."
fractal-of-mana,Fractal of Mana,front,"Reservable (While paying for a reserve cost, you may rest this object to pay for 1 of that cost.)

[Class Bonus] REST: Empower 1. (The next Spell card you activate this turn activates and resolves as if your champion got +1 level.)"
empowering-enlightenment,Empowering Enlightenment,front,Empower 2. Put an enlighten counter on your champion. (The next Spell card you activate this turn activates and resolves as if your champion got +2 level. You may remove three enlighten counters from your champion to draw a card.)
automaton-drone,Automaton Drone,front,
foraging-servant,Foraging Servant,front,"On Enter:  Gather. (To gather, summon a Blightroot, Manaroot, Silvershine, Fraysia, Razorvine, or Springleaf token, chosen at random.)

[Class Bonus] Floating Memory (While paying for a memory cost, you may banish this card from your graveyard to pay for 1 of that cost.)"
dissuading-aether,Dissuading Aether,front,Target unit's attacks get -3POWER until end of turn. Then you may load Dissuading Aether into an Aetherwing weapon you control.
ghostsight-mare,Ghostsight Mare,front,True Sight (This ally can attack units with stealth.)
aetheric-reforging,Aetheric Reforging,front,Banish up to one target card in a graveyard. Then you may load Aetheric Reforging into an Aetherwing weapon you control.
charged-hunter,Charged Hunter,front,"Ranged 2 (As long as this unit is distant, its attacks get +2 POWER.) 

[Class Bonus] On Enter: If you control another Automaton ally or a Powercell, Charged Hunter becomes distant. (Units stay distant until the end of their controller’s turn.)"
orb-of-glitter,Orb of Glitter,front,"At the beginning of your recollection phase, glimpse 1.

Banish Orb of Glitter: Draw a card."
right-of-realm,Right of Realm,front,"Whenever you activate a domain card, you may sacrifice Right of Realm. If you do, that domain enters the field without any of its upkeep abilities.

Floating Memory (While paying for a memory cost, you may banish this card from your graveyard to pay for 1 of that cost.)"
barter-herbs,Barter Herbs,front,"Sacrifice up to two Herbs. For each Herb sacrificed this way, summon your choice of Blightroot, Manaroot, Silvershine, Fraysia, Razorvine, or Springleaf token. 

[Class Bonus] Floating Memory"
fortified-mana-shield,Fortified Mana Shield,front,"[Class Bonus] This card costs 2 less to activate if its activation targets a unit with taunt. (Apply this effect only if your champion's class matches this card's class.)

The next time target unit would take non-combat damage this turn, prevent 4 of that damage."
charged-mannequin,Charged Mannequin,front,"As long as you control a Powercell, Charged Mannequin gets +1 POWER."
fatestone-of-balance,Fatestone of Balance,front,"[Guo Jia Bonus] Whenever an opponent activates a card, if that opponent has exactly three cards in their memory, transform Fatestone of Balance. (Apply this effect only if your champion is Guo Jia.)"
woodland-shoats,Woodland Shoats,back,Steadfast (This ally can retaliate while rested and doesn't rest to do so.)
drown-in-aether,Drown in Aether,front,"[Class Bonus] Fast Activation (You may activate this card at fast speed.)

Target rested ally gets -3LIFE until end of turn. Then you may load Drown in Aether into an Aetherwing weapon you control."
eminent-commander,Eminent Commander,front,[Class Bonus] This card costs 3 less to activate as long as your champion has dealt 3 or more combat damage this turn. (Apply this effect only if your champion's class matches this card's class.)
alacritous-huntress,Alacritous Huntress,front,"Ranged 2 (As long as this unit is distant, its attacks get +2POWER.) 

On Enter: Reveal up to one Aethercharge card from your hand. You may discard it or load it into an Aetherwing weapon you control. If you do, draw a card."
guandu-theater-of-war,"Guandu, Theater of War",front,"Whenever you declare an attack with an ally, put a battle counter on Guandu and glimpse 1. If this is the third time this ability has resolved this turn, draw a card into your memory. 

Upkeep — At the beginning of your recollection phase, remove two battle counters from Guandu. If you don't, sacrifice Guandu."
blightroot,Blightroot,front,Sacrifice Blightroot: Your champion gets +1 level until end of turn.
ornamental-greatsword,Ornamental Greatsword,front,[Class Bonus] On Enter: Target ally you control gets +1 POWER until end of turn. (Apply this effect only if your champion's class matches this card's class.)
backdash,Backdash,front,"Target unit becomes distant.

[Class Bonus] [Level 2+] Draw a card. (Apply this effect only if your champion's class matches this card's class and only if your champion is level 2 or higher.)"
seeking-shot,Seeking Shot,front,"[Level 2+] True Sight

[Class Bonus] Seeking Shot can't be retaliated.

As long as the attacker is attacking a Human ally, Seeking Shot gets +3 POWER."
fatestone-of-progress,Fatestone of Progress,front,"[Guo Jia Bonus] On Enter: Put a quest counter on your champion. (Apply this effect only if your champion is Guo Jia.)

[Guo Jia Bonus] (4): Transform Fatestone of Progress. (Activate this ability only if your champion is Guo Jia.)"
airborne-squirrel,Airborne Squirrel,back,
undercurrent-vantage,Undercurrent Vantage,front,"Glimpse 3. Your champion becomes distant. (Units stay distant until the end of their controller's turn.)

[Class Bonus] Floating Memory (While paying for a memory cost, you may banish this card from your graveyard to pay for 1 of that cost.)"
city-protector,City Protector,front,"Foster (At the beginning of your recollection phase, if this ally hasn’t been dealt damage since the end of your previous turn, it becomes fostered.) 

On Foster: Summon an Automaton Drone token."
heavenly-guide,Heavenly Guide,front,"[Level 2+] On Enter: If an opponent controls a non-Spirit champion with a card on top of its lineage that wasn't played, level up your champion. (Your champion levels up into a compatible champion card from your material deck. A card was played if it was activated or materialized.)"
feathery-tune,Feathery Tune,front,Summon two Fledgling tokens.
caretaker-drone,Caretaker Drone,front,"Intercept (Whenever your champion is attacked while this ally is awake, you may redirect that attack to this ally.) 

[Class Bonus] On Death: Glimpse 4."
heavy-swing,Heavy Swing,front,[Class Bonus] This card costs 2 less to activate. (Apply this effect only if your champion's class matches this card's class.)
poisoned-coating-oil,Poisoned Coating Oil,front,Banish Poisoned Coating Oil: Target ally you control with stealth gets +2 POWER until end of turn.
blighted-jewel,Blighted Jewel,front,"On Enter: Blighted Jewel becomes ephemeral. Draw a card into your memory.

Each ephemeral ally you control gets +1POWER as long as it entered the field this turn."
critical-recovery,Critical Recovery,front,"Remove all temporary damage from target ally. If that ally is an Automaton, put a buff counter on it. (Allies get +1 power and +1 life for each buff counter on them.)"
hire-mercenaries,Hire Mercenaries,front,"This card costs 1 less to activate if an opponent controls one or more allies.

Look at the top two cards of your deck. Put one of those cards into your memory and the other on the bottom of your deck."
fledgling,Fledgling,front,
idle-thoughts,Idle Thoughts,front,"Look at the top four cards of your deck and then put them back in any order.

Floating Memory (While paying for a memory cost, you may banish this card from your graveyard to pay for 1 of that cost.)"
steady-verse,Steady Verse,front,"[Class Bonus] The next Harmony action card you activate this turn costs 1 less to activate. 

Draw a card into your memory."
dodge-roll,Dodge Roll,front,Prevent the next 3 non-combat damage that would be dealt to target unit you control this turn. That unit becomes distant. (Units stay distant until the end of their controller’s turn.)
deploy-gunshield,Deploy Gunshield,front,"Target Gun weapon you control gains spellshroud until end of turn. (Objects with spellshroud can't be targeted by Spells.)

Floating Memory (While paying for a memory cost, you may banish this card from your graveyard to pay for 1 of that cost.)"
poisoned-dagger,Poisoned Dagger,front,"Poisoned Dagger enters the field rested.

REST, Banish Poisoned Dagger: Deal 1 damage to target unit. Class Bonus: Until end of turn, if that unit were to take damage, it takes that much damage plus 1 instead."
chateau-de-coeurs,Chateau de Coeurs,front,"On Enter: Remove all buff counters from all objects you don't control. 

Buff counters can't be placed on objects you don't control."
imperial-recruit,Imperial Recruit,front,"Foster (At the beginning of your recollection phase, if this ally hasn’t been dealt damage since the end of your previous turn, it becomes fostered.) 

Imperial Recruit gets +1 POWER as long as it's fostered."
thieving-cut,Thieving Cut,front,"Prepare 1 (You may remove a preparation counter from your champion as you activate this card.)

On Hit: If Thieving Cut was prepared, draw a card."
gentle-respite,Gentle Respite,front,"If target opponent's influence is greater than yours, draw a card into your memory. (A player's influence is equal to the total amount of cards in their hand and memory.)

Floating Memory"
constellations-blessing,Constellation's Blessing,front,"[Element Bonus] Aethercalling (As you're looking at this card while glimpsing, you may load it into an Aetherwing weapon you control.)

[Class Bonus] Draw a card. Then you may load Constellation's Blessing into an Aetherwing weapon you control."
distilled-atrophy,Distilled Atrophy,front,"Brew — One Blightroot, One Herb

At the beginning of your recollection phase, put an age counter on Distilled Atrophy.

Sacrifice Distilled Atrophy: Target champion gets -X level until end of turn. Then if that champion is level 0 or lower, deal X damage to them. X is the amount of age counters on Distilled Atrophy."
engineered-slime,Engineered Slime,front,"Pride 2

[Class Bonus] Whenever you sacrifice a Powercell, choose one—
• Put a buff counter on Engineered Slime.
• Engineered Slime gains spellshroud until end of turn."
cheshire-cat-impish-grin,"Cheshire Cat, Impish Grin",front,"Spellshroud, Stealth

Cheshire Cat has all activated abilities of Distortion regalia you control. 

Cheshire Cat gets +XPOWER where X is the total base power among Distortion weapons you control."
imperial-rifleman,Imperial Rifleman,front,"Ranged 2 (As long as this unit is distant, its attacks get +2 POWER.)

[Class Bonus] On Enter: Imperial Rifleman becomes distant. (Units stay distant until the end of their controller's turn. Apply this effect only if your champion's class matches this card's class.)"
sealed-blade-doa,Sealed Blade,front,"Pay only using floating memory for this card's memory cost.

[Class Bonus] Sealed Blade gets +1 POWER."
deadly-opportunist,Deadly Opportunist,front,"Deadly Opportunist gets +3POWER as long as it's attacking a rested ally.

[Class Bonus] Floating Memory (While paying for a memory cost, you may banish this card from your graveyard to pay for 1 of that cost.)"
imperial-assassin,Imperial Assassin,front,[Class Bonus] Stealth (This unit can't be targeted by attacks unless permitted by true sight. Apply this effect only if your champion’s class matches this card’s class.)
hidden-longbowman,Hidden Longbowman,front,"Ranged 2 (As long as this unit is distant, its attacks get +2 POWER.)

Hidden Longbowman has stealth as long as it's distant. (This unit with stealth can't be targeted by attacks unless permitted by true sight.)"
dusklight-communion,Dusklight Communion,front,"As an additional cost to activate this card, banish an astra or umbra element card from your material deck. 

On Enter: If the banished card was astra element, destroy up to one target phantasia. If the banished card was umbra element, Dusklight Communion gains ""Champions get -1 level."""
guided-starlight,Guided Starlight,front,"[Element Bonus] Aethercalling

Your champion's next attack this turn gains unblockable unless an opponent pays (3). 

You may load Guided Starlight into an Aetherwing weapon you control."
horse-archer,Horse Archer,front,"[Class Bonus] Ranged 2 (As long as this unit is distant, its attacks get +2 POWER.)

Equestrian — As long as you control a Horse ally, Horse Archer has ranged 3. (Multiple instances of ranged stack.)"
empowering-prayer,Empowering Prayer,front,"Your champion gets +2 level until end of turn. Then if your champion's level is equal to the amount of cards in your memory, draw a card."
imperial-sentry,Imperial Sentry,front,"[Class Bonus] Intercept (Whenever your champion is attacked while this ally is awake, you may redirect that attack to this ally. Apply this effect only if your champion's class matches this card's class.) 

[Level 2+] Imperial Sentry gets +1 LIFE."
gearshift-block,Gearshift Block,front,"[Class Bonus] This card costs 1 less to activate.

The next time damage would be dealt to target ally you control this turn, prevent that damage."
seers-sword,Seer's Sword,front,"[Class Bonus] On Attack: Glimpse 2. (To glimpse, look at that many cards from the top of your deck. Put those cards back on the top or on the bottom of your deck in any order.)"
corhazi-arsonist,Corhazi Arsonist,front,"Remove a preparation counter from your champion: Corhazi Arsonist gains stealth until end of turn.

If a unit hit by Corhazi Arsonist this turn would die, banish it instead."
devious-welcome,Devious Welcome,front,"Activate this card only during an opponent's recollection phase.

Each player draws a card. Then you choose action or ally. At the beginning of the next end phase, if the turn player did not activate a card with the chosen type this turn, that player discards a card at random from their hand and memory."
meteoric-volley,Meteoric Volley,front,"Activate this card only if your champion is attacking.

For each Aethercharge card in the attacker's intent, create a copy of it in that attacker's intent."
indolent-leisure,Indolent Leisure,front,"Draw a card. 

[Class Bonus] [Level 3+] Draw a card into your memory. (Apply this effect only if your champion's class matches this card's class and only if your champion is level 3 or higher.)"
empowering-tincture,Empowering Tincture,front,"Brew — One Manaroot, One Herb

On Enter: If Empowering Tincture was brewed, draw a card into your memory.

Sacrifice Empowering Tincture: Your champion gets +2 level until end of turn."
sharpening-stone,Sharpening Stone,front,Banish Sharpening Stone: Up to one target Dagger or Sword weapon you control gets +1 POWER until end of turn. Draw a card.
devoted-martyr,Devoted Martyr,front,"Intercept (Whenever your champion is attacked while this ally is awake, you may redirect that attack to this ally.)

[Class Bonus] Whenever your champion levels up, you may banish this card from your graveyard. If you do, recover 2."
inner-court-schemer,Inner Court Schemer,front,"On Attack: You may remove a preparation counter from your champion. If you do, this attack gets +2 POWER."
poised-occlusion,Poised Occlusion,front,"Negate target card activation. Put the card that had its activation negated this way into its owner's memory.

[Class Bonus] Draw a card into your memory. Your champion becomes distant."
enrage,Enrage,front,"[Damage 20+] This card costs 2 less to activate. (Apply this effect only if there are twenty or more damage counters on your champion.)

Deal 4 unpreventable damage to your champion. Then, their next attack this turn gets +1 POWER for every four damage counters on them."
geldus-terror-of-dorumegia,"Geldus, Terror of Dorumegia",front,"Pride 4

[Level 3+] This card costs 2 less to activate.

[Class Bonus] On Enter: Geldus gains your choice of spellshroud or taunt until the beginning of your next turn."
idle-fatestone,Idle Fatestone,front,"On Enter: Look at the top four cards of your deck and then put them back in any order. 
[Guo Jia Bonus] [REST], (2): Reveal the top card of your deck. If that card's reserve cost is even, put a buff counter on Idle Fatestone. Otherwise, transform Idle Fatestone. (Zero is even.)"
bolstered-boar,Bolstered Boar,back,"As long as Bolstered Boar has two or more buff counters on it, it has steadfast, taunt, vigor, and retort 2."
escape-the-wreckage,Escape the Wreckage,front,"Return target ally you control to its owner's memory. If you do, draw a card into your memory."
smoke-bombs,Smoke Bombs,front,Banish Smoke Bombs: Target ally gains stealth until end of turn. Draw a card. (Units with stealth can't be targeted by attacks unless permitted by true sight.)
dreamy-unicorn,Dreamy Unicorn,front,"Intercept (Whenever your champion is attacked while this ally is awake, you may redirect that attack to this ally.)

On Death: Put a preparation counter on your champion."
hone-by-fire,Hone by Fire,front,Target Sword weapon you control gets +2 POWER until end of turn. Class Bonus: Put a durability counter on it.
immaterial-dissolution,Immaterial Dissolution,front,"[Level 2+] This card costs 1 less to activate. (Apply this effect only if your champion is level 2 or higher.)

Destroy up to three target non-regalia token objects with total reserve cost 4 or less."
sidereal-spellshot,Sidereal Spellshot,front,"[Element Bonus] Aethercalling (As you're looking at this card while glimpsing, you may load it into an Aetherwing weapon you control.)

[Class Bonus] Glimpse X. Then you may load Sidereal Spellshot into an Aetherwing weapon you control."
harvester-mk-ii,Harvester Mk II,front,Automaton allies you control have “On Death: Summon a Powercell token.”
martial-guard,Martial Guard,front,"The next time target unit would be dealt damage this turn, prevent 2 of that damage.

[Class Bonus] [Level 2+] Floating Memory (While paying for a memory cost, you may banish this card from your graveyard to pay for 1 of that cost.)"
incendiary-fractal,Incendiary Fractal,front,"On Enter: Deal 2 damage to target ally you don't control. Class Bonus: Deal 4 damage to that ally instead.

Reservable (While paying for a reserve cost, you may rest this object to pay for 1 of that cost.)"
innocuous-disposer,Innocuous Disposer,front,"Innocuous Disposer's attacks can't be retaliated by Human allies.

[Class Bonus] On Ally Hit: If the hit ally is a Human, you may remove a preparation counter from your champion. If you do, destroy the hit ally."
surveillance-stone,Surveillance Stone,front,"Whenever an opponent declares an attack with a unit for the third time each turn, you may banish Surveillance Stone. If you do, draw a card."
starbirth,Starbirth,front,Draw a card into your memory. Then summon an Astral Shard token.
hide-in-bush,Hide in Bush,front,"Brew — Four Herbs (You may sacrifice the listed objects rather than pay this card’s reserve cost.)

Your champion gains stealth until end of turn. (This champion can’t be targeted by attacks unless permitted by true sight.)"
invective-instruction,Invective Instruction,front,"Target ally gets +3 POWER until end of turn. 

[Class Bonus] If you control a non-Human ally, draw a card into your memory. (Apply this effect only if your champion’s class matches this card’s class.)"
exalted-dorumegian-throne,Exalted Dorumegian Throne,front,"Allies you control get +1 POWER and +1 LIFE.

Upkeep — At the beginning of your recollection phase, if you control four or fewer other domains, sacrifice Exalted Dorumegian Throne."
dyadic-fletcher,Dyadic Fletcher,front,"Ranged 2 (As long as this unit is distant, its attacks get +2POWER.) 

[Class Bonus] Whenever you activate an Aethercharge card for the second time each turn, Dyadic Fletcher becomes distant."
exorcise-curses,Exorcise Curses,front,"Choose up to two Curse cards from a champion's lineage and discard them.

Floating Memory (While paying for a memory cost, you may banish this card from your graveyard to pay for 1 of that cost.)"
materialize-munitions,Materialize Munitions,front,"[Class Bonus] This card costs 1 less to activate. (Apply this effect only if your champion's class matches this card's class.)

Materialize a Bullet card from your material deck. (You still pay its costs.)"
enchanted-fete,Enchanted Fete,front,"Recover 3 and draw a card into your memory. (To recover, remove that many damage counters from your champion.)"
hub-of-innovation,Hub of Innovation,front,On Enter: Draw a card into your memory.
kingdoms-divide,Kingdom's Divide,front,"Choose a card name. Until the beginning of your next turn, cards with the chosen name cost 2 more to activate.

[Level 2+] Floating Memory (While paying for a memory cost, you may banish this card from your graveyard to pay for 1 of that cost.)"
